ref_date,yield_bid,price_bid,asset_code,matur_date,prazo_anos
2019-03-11,0.0095,3173.49,NTN-B Principal 150519,2019-05-15,0.17796030116358658
2019-03-12,0.009399999999999999,3176.69,NTN-B Principal 150519,2019-05-15,0.17522245037645448
2019-03-13,0.009399999999999999,3177.3,NTN-B Principal 150519,2019-05-15,0.17248459958932238
2019-03-14,0.008,3178.62,NTN-B Principal 150519,2019-05-15,0.1697467488021903
2019-03-15,0.0075,3180.41,NTN-B Principal 150519,2019-05-15,0.16700889801505817
2019-03-18,0.0068000000000000005,3181.33,NTN-B Principal 150519,2019-05-15,0.15879534565366188
2019-03-19,0.0063,3182.14,NTN-B Principal 150519,2019-05-15,0.15605749486652978
2019-03-20,0.0046,3183.49,NTN-B Principal 150519,2019-05-15,0.15331964407939766
2019-03-21,0.004,3184.3,NTN-B Principal 150519,2019-05-15,0.15058179329226556
2019-03-22,0.004,3185.79,NTN-B Principal 150519,2019-05-15,0.14784394250513347
2019-03-25,0.0049,3185.94,NTN-B Principal 150519,2019-05-15,0.13963039014373715
2019-03-26,0.0033,3187.15,NTN-B Principal 150519,2019-05-15,0.13689253935660506
2019-03-27,0.0019,3189.7,NTN-B Principal 150519,2019-05-15,0.13415468856947296
2019-03-28,0.0043,3189.38,NTN-B Principal 150519,2019-05-15,0.13141683778234087
2019-03-29,0.0039000000000000003,3191.37,NTN-B Principal 150519,2019-05-15,0.12867898699520877
2019-04-01,0.0034999999999999996,3192.17,NTN-B Principal 150519,2019-05-15,0.12046543463381246
2019-04-02,0.004,3192.63,NTN-B Principal 150519,2019-05-15,0.11772758384668036
2019-04-03,0.0037,3193.38,NTN-B Principal 150519,2019-05-15,0.11498973305954825
2019-04-04,0.0015,3194.74,NTN-B Principal 150519,2019-05-15,0.11225188227241616
2019-04-05,0.0013,3196.61,NTN-B Principal 150519,2019-05-15,0.10951403148528405
2019-04-08,-6e-4,3197.8,NTN-B Principal 150519,2019-05-15,0.10130047912388775
2019-04-09,-0.0011,3198.54,NTN-B Principal 150519,2019-05-15,0.09856262833675565
2019-04-10,-6e-4,3203.69,NTN-B Principal 150519,2019-05-15,0.09582477754962354
2019-04-11,-9e-4,3204.54,NTN-B Principal 150519,2019-05-15,0.09308692676249145
2019-04-12,-0.0023,3207.2,NTN-B Principal 150519,2019-05-15,0.09034907597535935
2019-04-15,-0.0013,3207.5,NTN-B Principal 150519,2019-05-15,0.08213552361396304
2019-04-16,-0.002,3208.22,NTN-B Principal 150519,2019-05-15,0.07939767282683094
2019-04-17,-0.0039000000000000003,3209.18,NTN-B Principal 150519,2019-05-15,0.07665982203969883
2019-04-18,-0.0032,3211.3,NTN-B Principal 150519,2019-05-15,0.07392197125256673
2019-04-22,-0.0038,3211.95,NTN-B Principal 150519,2019-05-15,0.06297056810403832
2019-04-23,-0.0038,3212.48,NTN-B Principal 150519,2019-05-15,0.06023271731690623
2019-04-24,-0.0054,3213.27,NTN-B Principal 150519,2019-05-15,0.057494866529774126
2019-04-25,-0.0054,3213.78,NTN-B Principal 150519,2019-05-15,0.05475701574264202
2019-04-26,-0.0149,3217.83,NTN-B Principal 150519,2019-05-15,0.05201916495550993
2019-04-29,-0.0102,3217.68,NTN-B Principal 150519,2019-05-15,0.04380561259411362
2019-04-30,-0.0097,3218.8,NTN-B Principal 150519,2019-05-15,0.04106776180698152
2019-05-02,-0.0129,3219.66,NTN-B Principal 150519,2019-05-15,0.03559206023271732
2019-05-03,-0.013600000000000001,3221.52,NTN-B Principal 150519,2019-05-15,0.03285420944558522
2019-05-06,-0.0154,3222.13,NTN-B Principal 150519,2019-05-15,0.024640657084188913
2019-05-07,-0.015,3222.56,NTN-B Principal 150519,2019-05-15,0.02190280629705681
2019-05-08,-0.015300000000000001,3223.04,NTN-B Principal 150519,2019-05-15,0.019164955509924708
2019-05-09,-0.0152,3223.49,NTN-B Principal 150519,2019-05-15,0.01642710472279261
2019-05-10,-0.0158,3224.08,NTN-B Principal 150519,2019-05-15,0.013689253935660506
2019-05-13,-0.0097,3224.4,NTN-B Principal 150519,2019-05-15,0.0054757015742642025
2019-05-14,-0.009399999999999999,3224.89,NTN-B Principal 150519,2019-05-15,0.0027378507871321013
2019-01-02,0.044500000000000005,2473.4,NTN-B Principal 150824,2024-08-15,5.618069815195072
2019-01-03,0.043899999999999995,2481.87,NTN-B Principal 150824,2024-08-15,5.61533196440794
2019-01-04,0.0436,2486.52,NTN-B Principal 150824,2024-08-15,5.6125941136208075
2019-01-07,0.0431,2493.69,NTN-B Principal 150824,2024-08-15,5.604380561259411
2019-01-08,0.043,2495.53,NTN-B Principal 150824,2024-08-15,5.601642710472279
2019-01-09,0.0432,2493.36,NTN-B Principal 150824,2024-08-15,5.598904859685147
2019-01-10,0.042800000000000005,2499.19,NTN-B Principal 150824,2024-08-15,5.596167008898015
2019-01-11,0.0426,2503.73,NTN-B Principal 150824,2024-08-15,5.593429158110883
2019-01-14,0.043,2498.93,NTN-B Principal 150824,2024-08-15,5.585215605749487
2019-01-15,0.0421,2511.7,NTN-B Principal 150824,2024-08-15,5.582477754962355
2019-01-16,0.0425,2507.08,NTN-B Principal 150824,2024-08-15,5.579739904175223
2019-01-17,0.0424,2509.15,NTN-B Principal 150824,2024-08-15,5.577002053388091
2019-01-18,0.042,2515.89,NTN-B Principal 150824,2024-08-15,5.574264202600959
2019-01-21,0.0426,2508.6,NTN-B Principal 150824,2024-08-15,5.566050650239562
2019-01-22,0.042199999999999994,2514.68,NTN-B Principal 150824,2024-08-15,5.563312799452429
2019-01-23,0.0425,2511.42,NTN-B Principal 150824,2024-08-15,5.560574948665297
2019-01-24,0.042,2520.11,NTN-B Principal 150824,2024-08-15,5.557837097878165
