data,ipca,selic,cambio,premio_2,premio_5,premio_10,premio_20
2022-11-01,0.41,1.02,5.2747,6.387195205479452,5.941939084507042,5.995383333333334,6.058132904462086
2022-12-01,0.62,1.12,5.2424,6.678098499673842,6.233957895521276,6.192040837618302,6.244923546204685
2023-01-01,0.53,1.12,5.2007,6.502062577833126,6.145405561421975,6.198735165600373,6.332188363238186
2023-02-01,0.84,0.92,5.1717,6.260584855403349,6.099313164010624,6.2809428723566105,6.416813577881193
2023-03-01,0.71,1.17,5.2115,5.984435080405003,5.886782110687684,6.210107753060941,6.439293374117759
2023-04-01,0.61,0.92,5.0197,6.077025114155251,5.693150868747233,5.960627440539581,6.150066155671138
2023-05-01,0.23,1.12,4.9828,6.488202677459527,5.48133749094531,5.635439400854736,5.870122564268471
2023-06-01,-0.08,1.07,4.8516,6.657227005870841,5.350251849743882,5.354674534350481,5.616242879303377
2023-07-01,0.12,1.07,4.8008,6.224739399869537,5.175129126351736,5.208781704375041,5.51117907004028
2023-08-01,0.23,1.14,4.9035,5.814613460393091,4.968900268491252,5.1306139741630785,5.424484461847915
2023-09-01,0.26,0.97,4.937,5.784632876712329,5.317049800796813,5.469076449109996,5.733722283055023
2023-10-01,0.24,1,5.0648,6.177140574037834,5.723651821286284,5.749144226380648,5.905791977891622
2023-11-01,0.28,0.92,4.8983,6.06001198630137,5.639615537848606,5.653073938840712,5.78710813030386
2023-12-01,0.56,0.89,4.8972,5.766653208363374,5.33140097504718,5.457320017295635,5.612578990591727
2024-01-01,0.42,0.97,4.9144,5.565834682440847,5.3407801747555235,5.4809271399526995,5.664891247542493
2024-02-01,0.83,0.8,4.9644,5.773506849315068,5.4745478611868315,5.572129765307838,5.708873168412408
2024-03-01,0.16,0.83,4.9801,6.079372945205479,5.629730702191235,5.712540620721132,5.822200246372844
2024-04-01,0.38,0.89,5.1291,6.221489726027397,5.950335023542195,5.973040019086345,6.008913470870766
2024-05-01,0.46,0.83,5.133,6.442756686236138,6.109526106523462,6.1404542392036685,6.138163805352417
2024-06-01,0.21,0.79,5.389,6.593159246575342,6.30638783660429,6.298886125057051,6.288439228031755
2024-07-01,0.38,0.91,5.542,6.536179571173317,6.319675302125296,6.264227868950052,6.330670324569443
2024-08-01,-0.02,0.87,5.5526,6.4711000338620615,6.124775735446662,5.997473963735945,6.108145857701018
2024-09-01,0.44,0.84,5.5416,6.618694981976854,6.389464041207537,6.264038599465345,6.287593758554612
2024-10-01,0.56,0.93,5.6241,6.781582366187425,6.677478022741254,6.552811898477963,6.517410704721551
2024-11-01,0.39,0.79,5.8071,7.02783916963724,6.8965530639698285,6.722390521031012,6.701131009840506
2024-12-01,0.52,0.93,6.097,7.83002542461732,7.4592761055994625,7.107441447068149,6.959288400305445
2025-01-01,0.16,1.01,6.0218,7.813296586381745,7.758012271275051,7.6439711007842,7.378187044272454
2025-02-01,1.31,0.99,5.7656,7.659163097609562,7.5199345047923325,7.608287996348699,7.417043252595156
2025-03-01,0.56,0.96,5.7468,8.42568096036905,7.70077848374931,7.586278675923035,7.446704911066594
2025-04-01,0.43,1.06,5.7837,8.819017430278885,7.657592765860338,7.540065951620265,7.380191753171856
2025-05-01,0.26,1.14,5.6674,8.671625166002656,7.336806687531243,7.194517769664909,7.138643118904926
2025-06-01,0.24,1.1,5.5471,9.010112549800796,7.460213087631219,7.167060448150078,7.015781543274244
2025-07-01,0.26,1.28,5.5285,9.235902260523124,7.628946232611672,7.228449600108752,7.068246815070046
2025-08-01,-0.11,1.16,5.4469,9.244426105103395,7.675884679750495,7.316598302687412,7.10523089527782
2025-09-01,0.48,1.22,5.3674,8.861130251720391,7.691287135388573,7.426050973518405,7.130353351028534
2025-10-01,0.09,1.28,5.3855,9.173433440152435,7.889138025122537,7.507787797086345,7.167292469510813
2025-11-01,0.18,1.05,5.3409,8.980354896204656,7.701732025751279,7.289801431666713,6.982050381428023
2025-12-01,0.33,1.22,5.4531,9.061126743027888,7.678763749429485,7.218539082855655,6.956038581856101
